match_season,player_name_clean,matches_played,innings_batted,runs_scored,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets,dot_balls_bowling,bowling_strike_rate,economy_rate,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,prior_seasons_played,career_runs_before_auction,career_wickets_before_auction,career_matches_before_auction,three_year_runs_before_auction,three_year_wickets_before_auction,three_year_matches_before_auction,three_year_batting_sr_before_auction,three_year_economy_before_auction,career_best_runs_season_before_auction,career_best_wickets_season_before_auction,career_best_sr_season_before_auction,career_best_economy_season_before_auction,prior_500_run_seasons,prior_400_run_seasons,prior_20_wicket_seasons,prior_15_wicket_seasons,pedigree_batter_index,pedigree_bowler_index
2023.0,a manohar,6.0,6.0,342.0,252.0,198.0,18.0,21.0,18.0,78.0,135.71428571428572,19.0,15.476190476190476,30.952380952380953,57.0,46.0,112.0,86.0,8.0,96.0,126.0,114.0,6.0,75.0,112.5,208.69565217391303,,,,,,,,,,,,,,,,,,,,,,,,,,,1,324.0,,141.48471615720524,,1,324.0,,7.0,324.0,,7.0,141.48471615720524,,324.0,,141.48471615720524,,0,0,0,0,0.6232243145028081,0.3229930624380575
2024.0,a manohar,2.0,2.0,9.0,16.0,4.0,1.0,0.0,2.0,11.0,56.25,4.5,6.25,68.75,4.5,0.0,7.0,0.0,9.0,0.0,7.0,0.0,2.0,22.22222222222222,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,333.0,,138.59950093574548,,2,666.0,,13.0,666.0,,13.0,138.59950093574548,,342.0,,141.48471615720524,,0,0,0,0,0.6640981169474727,0.3229930624380575
2025.0,a manohar,5.0,5.0,61.0,61.0,32.0,2.0,4.0,5.0,29.0,100.0,12.2,9.836065573770492,47.540983606557376,12.2,21.0,40.0,0.0,0.0,31.0,30.0,0.0,0.0,,75.0,147.61904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,3,175.5,,95.98214285714286,,3,675.0,,15.0,675.0,,15.0,111.14966729049699,,342.0,,141.48471615720524,,0,0,0,0,0.5508259002312521,0.3229930624380575
2025.0,a mhatre,7.0,7.0,240.0,127.0,190.0,31.0,11.0,7.0,41.0,188.9763779527559,34.285714285714285,33.07086614173229,32.28346456692913,34.285714285714285,1.0,25.0,19.0,82.0,0.0,47.0,17.0,176.0,214.63414634146343,188.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2007.0,a mishra,6.0,3.0,111.0,126.0,36.0,9.0,0.0,9.0,48.0,88.09523809523809,12.333333333333334,7.142857142857142,38.095238095238095,37.0,8.0,76.0,42.0,0.0,2.0,72.0,37.0,0.0,,94.73684210526315,25.0,6.0,6.0,369.0,361.0,414.0,33.0,126.0,10.93939393939394,6.880886426592798,34.903047091412745,12.0,190.0,123.0,36.0,4.0,226.0,138.0,46.0,6.0,12.0,11.0,4.0,4.0,7.666666666666667,6.0,2.0,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2009.0,a mishra,25.0,12.0,195.0,216.0,72.0,9.0,6.0,18.0,87.0,90.27777777777779,10.833333333333334,6.944444444444445,40.27777777777778,16.25,82.0,60.0,74.0,0.0,92.0,38.0,65.0,0.0,,63.33333333333333,112.19512195121952,25.0,25.0,1773.0,1733.0,1971.0,93.0,687.0,18.634408602150536,6.824004616272361,39.64223889209463,120.0,758.0,603.0,252.0,196.0,872.0,663.0,240.0,12.0,36.0,33.0,12.0,12.0,5.714285714285714,12.0,9.8,1,111.0,33.0,88.09523809523809,6.880886426592798,1,111.0,33.0,6.0,111.0,33.0,6.0,88.09523809523809,6.880886426592798,111.0,33.0,88.09523809523809,6.880886426592798,0,0,1,1,0.41165345226296657,0.7691691443673605
2011.0,a mishra,14.0,9.0,204.0,150.0,126.0,27.0,3.0,12.0,51.0,136.0,17.0,20.0,34.0,22.666666666666668,92.0,6.0,52.0,0.0,132.0,4.0,68.0,0.0,,66.66666666666666,143.47826086956522,14.0,14.0,972.0,964.0,1074.0,57.0,390.0,16.912280701754387,6.6846473029045645,40.45643153526971,88.0,516.0,336.0,24.0,106.0,574.0,370.0,24.0,6.0,32.0,19.0,0.0,0.0,6.0,6.0,7.2272727272727275,2,153.0,63.0,89.18650793650794,6.852445521432579,2,306.0,126.0,31.0,306.0,126.0,31.0,89.18650793650794,6.852445521432579,195.0,93.0,90.27777777777779,6.824004616272361,0,0,2,2,0.47259663032705646,0.912454575487281
2012.0,a mishra,14.0,5.0,48.0,61.0,12.0,3.0,0.0,9.0,25.0,78.68852459016394,5.333333333333333,4.918032786885246,40.98360655737705,9.6,36.0,4.0,21.0,0.0,32.0,0.0,16.0,0.0,,0.0,88.88888888888889,14.0,14.0,867.0,853.0,1131.0,39.0,267.0,21.871794871794872,7.955451348182884,31.30128956623681,48.0,480.0,289.0,36.0,90.0,634.0,377.0,30.0,0.0,22.0,13.0,4.0,4.0,5.0,0.0,11.25,3,199.5,75.0,113.13888888888889,6.754325959588463,3,510.0,183.0,45.0,510.0,183.0,45.0,104.7910052910053,6.796512781923241,204.0,93.0,136.0,6.6846473029045645,0,0,3,3,0.5198959365708622,0.9448050875454245
2013.0,a mishra,17.0,6.0,267.0,295.0,108.0,27.0,0.0,9.0,130.0,90.5084745762712,29.666666666666668,9.152542372881356,44.06779661016949,44.5,52.0,116.0,103.0,24.0,68.0,90.0,89.0,20.0,83.33333333333334,77.58620689655173,130.76923076923077,17.0,17.0,1128.0,1120.0,1182.0,63.0,453.0,17.77777777777778,6.332142857142857,40.44642857142857,60.0,660.0,376.0,24.0,84.0,662.0,394.0,42.0,14.0,28.0,21.0,0.0,0.0,10.5,14.0,8.4,4,126.0,48.0,107.34426229508196,7.3200493255437244,4,558.0,222.0,59.0,447.0,189.0,53.0,101.65543412264725,7.1547010891199365,204.0,93.0,136.0,6.6846473029045645,0,0,4,4,0.5159481334654774,0.9495292368681864
2014.0,a mishra,10.0,2.0,12.0,21.0,0.0,0.0,0.0,3.0,9.0,57.14285714285714,4.0,0.0,42.857142857142854,6.0,14.0,0.0,7.0,0.0,8.0,0.0,4.0,0.0,,,57.14285714285714,10.0,10.0,690.0,680.0,1020.0,21.0,198.0,32.38095238095238,9.0,29.117647058823533,54.0,324.0,230.0,72.0,150.0,436.0,340.0,94.0,4.0,6.0,7.0,4.0,4.0,7.833333333333333,4.0,16.666666666666668,5,157.5,51.0,84.59849958321757,7.143797102662871,5,825.0,285.0,76.0,519.0,159.0,45.0,101.73233305547838,6.990747169410102,267.0,93.0,136.0,6.332142857142857,0,0,5,5,0.5357697390155269,0.9622150644202181
